Format Version,1.21,Take Name,Take 2016-02-09 06.04.27 PM,Capture Frame Rate,206,Export Frame Rate,206,Capture Start Time,2016-02-09 06.04.27.420 PM,Total Frames in Take,4527,Total Exported Frames,4527,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,,,,,,,,,,,
,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,,,,,,
,,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Away from port top,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Rigidside away from port,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Close to port top,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,Actuator Markers:Rigid side close to port,,,,,,
,,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000001,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000005,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000002,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,8392B20CF49E357145CE0C9500000004,,,,,,
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,,,,,,
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,
4,0.019417,-0.029234,0.023058,0.064793,-0.039963,0.027348,0.077983,-0.016352,0.022186,0.079839,-0.028881,0.02595,0.091089,,,,,,
5,0.024272,-0.029233,0.023058,0.064793,-0.039963,0.027348,0.077983,-0.016341,0.022196,0.079836,-0.028881,0.02595,0.091088,,,,,,
6,0.029126,-0.029233,0.023058,0.064793,-0.039963,0.027348,0.077983,-0.016331,0.022206,0.079833,-0.028881,0.02595,0.091088,,,,,,
7,0.033981,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016321,0.022217,0.07983,-0.028881,0.02595,0.091088,,,,,,
8,0.038835,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016311,0.022227,0.079826,-0.028881,0.02595,0.091088,,,,,,
9,0.043689,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016302,0.022236,0.079823,-0.028881,0.02595,0.091087,,,,,,
10,0.048544,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016292,0.022246,0.07982,-0.028881,0.02595,0.091087,,,,,,
11,0.053398,-0.029233,0.023058,0.064793,-0.039964,0.027348,0.077982,-0.016283,0.022255,0.079817,-0.028881,0.025949,0.091087,,,,,,
12,0.058252,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077982,-0.016274,0.022264,0.079815,-0.028881,0.025949,0.091087,,,,,,
13,0.063107,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077982,-0.016266,0.022273,0.079812,-0.028881,0.025949,0.091086,,,,,,
14,0.067961,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077982,-0.016258,0.022281,0.079809,-0.028881,0.025949,0.091086,,,,,,
15,0.072816,-0.029233,0.023059,0.064793,-0.039964,0.027348,0.077981,-0.01625,0.022289,0.079807,-0.028881,0.025949,0.091086,,,,,,
16,0.07767,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016242,0.022296,0.079804,-0.028881,0.025949,0.091086,,,,,,
17,0.082524,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016235,0.022304,0.079802,-0.028881,0.025949,0.091086,,,,,,
18,0.087379,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016228,0.022311,0.0798,-0.028881,0.025949,0.091085,,,,,,
19,0.092233,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016221,0.022317,0.079798,-0.028881,0.025949,0.091085,,,,,,
20,0.097087,-0.029233,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016215,0.022323,0.079796,-0.028881,0.025949,0.091085,,,,,,
21,0.101942,-0.029234,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016209,0.022329,0.079794,-0.028881,0.025949,0.091085,,,,,,
22,0.106796,-0.029234,0.023059,0.064793,-0.039965,0.027348,0.077981,-0.016204,0.022335,0.079792,-0.028881,0.025949,0.091085,,,,,,
23,0.11165,-0.029234,0.023059,0.064793,-0.039966,0.027348,0.077981,-0.016199,0.02234,0.079791,-0.028881,0.025949,0.091085,,,,,,
24,0.116505,-0.029234,0.02306,0.064793,-0.039966,0.027348,0.07798,-0.016194,0.022344,0.079789,-0.028882,0.025949,0.091085,,,,,,
25,0.121359,-0.029234,0.02306,0.064793,-0.039966,0.027348,0.07798,-0.01619,0.022349,0.079788,-0.028882,0.025949,0.091084,,,,,,
26,0.126214,-0.029234,0.02306,0.064792,-0.039966,0.027348,0.07798,-0.016186,0.022353,0.079786,-0.028882,0.025949,0.091084,,,,,,
27,0.131068,-0.029235,0.02306,0.064792,-0.039966,0.027348,0.07798,-0.016182,0.022356,0.079785,-0.028882,0.025949,0.091084,,,,,,
28,0.135922,-0.029235,0.02306,0.064792,-0.039966,0.027348,0.07798,-0.016179,0.022359,0.079784,-0.028882,0.025949,0.091084,,,,,,
29,0.140777,-0.029235,0.02306,0.064792,-0.039967,0.027348,0.07798,-0.016176,0.022362,0.079783,-0.028882,0.025949,0.091084,,,,,,
30,0.145631,-0.029235,0.02306,0.064792,-0.039967,0.027348,0.07798,-0.016174,0.022365,0.079783,-0.028882,0.025949,0.091084,,,,,,
31,0.150485,-0.029236,0.02306,0.064792,-0.039967,0.027348,0.07798,-0.016171,0.022367,0.079782,-0.028882,0.025949,0.091084,,,,,,
32,0.15534,-0.029236,0.02306,0.064792,-0.039967,0.027349,0.07798,-0.016169,0.022369,0.079781,-0.028882,0.025949,0.091084,,,,,,
33,0.160194,-0.029236,0.02306,0.064791,-0.039967,0.027349,0.07798,-0.016168,0.02237,0.079781,-0.028882,0.025949,0.091084,,,,,,
34,0.165049,-0.029237,0.02306,0.064791,-0.039968,0.027349,0.07798,-0.016166,0.022372,0.07978,-0.028882,0.025949,0.091084,,,,,,
35,0.169903,-0.029237,0.02306,0.064791,-0.039968,0.027349,0.07798,-0.016165,0.022373,0.07978,-0.028882,0.02595,0.091084,,,,,,
36,0.174757,-0.029237,0.02306,0.064791,-0.039968,0.027349,0.07798,-0.016164,0.022374,0.07978,-0.028882,0.02595,0.091084,,,,,,
37,0.179612,-0.029238,0.02306,0.064791,-0.039968,0.027349,0.07798,-0.016164,0.022374,0.07978,-0.028882,0.02595,0.091084,,,,,,
38,0.184466,-0.029238,0.02306,0.06479,-0.039969,0.027349,0.077979,-0.016163,0.022375,0.07978,-0.028883,0.02595,0.091084,,,,,,
39,0.18932,-0.029239,0.02306,0.06479,-0.039969,0.027349,0.077979,-0.016163,0.022375,0.07978,-0.028883,0.025951,0.091084,,,,,,
40,0.194175,-0.029239,0.02306,0.06479,-0.039969,0.027349,0.077979,-0.016163,0.022374,0.07978,-0.028883,0.025951,0.091084,,,,,,
41,0.199029,-0.02924,0.02306,0.064789,-0.03997,0.02735,0.077979,-0.016163,0.022374,0.07978,-0.028883,0.025951,0.091085,,,,,,
42,0.203883,-0.029241,0.02306,0.064789,-0.03997,0.02735,0.077979,-0.016164,0.022374,0.07978,-0.028883,0.025951,0.091085,,,,,,
43,0.208738,-0.029241,0.02306,0.064789,-0.03997,0.02735,0.077979,-0.016164,0.022373,0.07978,-0.028883,0.025952,0.091085,,,,,,
44,0.213592,-0.029242,0.02306,0.064788,-0.039971,0.02735,0.077979,-0.016165,0.022372,0.07978,-0.028883,0.025952,0.091085,,,,,,
45,0.218447,-0.029243,0.02306,0.064788,-0.039971,0.02735,0.077979,-0.016165,0.022371,0.079781,-0.028883,0.025952,0.091085,,,,,,
46,0.223301,-0.029243,0.02306,0.064788,-0.039972,0.02735,0.077979,-0.016166,0.02237,0.079781,-0.028884,0.025953,0.091085,,,,,,
47,0.228155,-0.029244,0.02306,0.064787,-0.039972,0.027351,0.077979,-0.016167,0.022369,0.079781,-0.028884,0.025953,0.091085,,,,,,
48,0.23301,-0.029245,0.02306,0.064787,-0.039972,0.027351,0.077979,-0.016168,0.022368,0.079782,-0.028884,0.025954,0.091085,,,,,,
49,0.237864,-0.029246,0.02306,0.064786,-0.039973,0.027351,0.077979,-0.016169,0.022367,0.079782,-0.028884,0.025954,0.091085,,,,,,
50,0.242718,-0.029246,0.02306,0.064786,-0.039973,0.027351,0.077979,-0.016171,0.022365,0.079783,-0.028884,0.025954,0.091085,,,,,,
51,0.247573,-0.029247,0.02306,0.064785,-0.039974,0.027351,0.077979,-0.016172,0.022364,0.079783,-0.028884,0.025955,0.091086,,,,,,
52,0.252427,-0.029248,0.02306,0.064785,-0.039974,0.027351,0.077978,-0.016173,0.022362,0.079784,-0.028884,0.025955,0.091086,,,,,,
53,0.257282,-0.029249,0.02306,0.064784,-0.039975,0.027352,0.077978,-0.016175,0.022361,0.079784,-0.028885,0.025955,0.091086,,,,,,
54,0.262136,-0.02925,0.02306,0.064784,-0.039975,0.027352,0.077978,-0.016176,0.022359,0.079785,-0.028885,0.025956,0.091086,,,,,,
55,0.26699,-0.029251,0.02306,0.064783,-0.039976,0.027352,0.077978,-0.016177,0.022357,0.079785,-0.028885,0.025956,0.091086,,,,,,
56,0.271845,-0.029252,0.02306,0.064782,-0.039976,0.027352,0.077978,-0.016179,0.022356,0.079786,-0.028885,0.025957,0.091086,,,,,,
57,0.276699,-0.029253,0.02306,0.064782,-0.039977,0.027352,0.077978,-0.01618,0.022354,0.079786,-0.028885,0.025957,0.091086,,,,,,
58,0.281553,-0.029254,0.02306,0.064781,-0.039977,0.027353,0.077978,-0.016182,0.022352,0.079787,-0.028885,0.025957,0.091086,,,,,,
59,0.286408,-0.029255,0.02306,0.06478,-0.039978,0.027353,0.077977,-0.016183,0.02235,0.079787,-0.028885,0.025958,0.091086,,,,,,
60,0.291262,-0.029257,0.02306,0.064779,-0.039978,0.027353,0.077977,-0.016185,0.022349,0.079788,-0.028885,0.025958,0.091086,,,,,,
61,0.296117,-0.029258,0.02306,0.064779,-0.039979,0.027353,0.077977,-0.016186,0.022347,0.079788,-0.028885,0.025958,0.091086,,,,,,
62,0.300971,-0.029259,0.02306,0.064778,-0.039979,0.027353,0.077977,-0.016188,0.022345,0.079789,-0.028885,0.025959,0.091086,,,,,,
63,0.305825,-0.02926,0.02306,0.064777,-0.03998,0.027353,0.077977,-0.016189,0.022343,0.07979,-0.028885,0.025959,0.091086,,,,,,
64,0.31068,-0.029261,0.02306,0.064776,-0.03998,0.027353,0.077976,-0.016191,0.022341,0.07979,-0.028885,0.025959,0.091086,,,,,,
65,0.315534,-0.029263,0.023059,0.064775,-0.039981,0.027353,0.077976,-0.016192,0.02234,0.079791,-0.028885,0.025959,0.091086,,,,,,
66,0.320388,-0.029264,0.023059,0.064774,-0.039981,0.027354,0.077976,-0.016194,0.022338,0.079791,-0.028885,0.02596,0.091086,,,,,,
67,0.325243,-0.029265,0.023059,0.064773,-0.039982,0.027354,0.077976,-0.016195,0.022336,0.079792,-0.028885,0.02596,0.091086,,,,,,
68,0.330097,-0.029267,0.023059,0.064772,-0.039983,0.027354,0.077975,-0.016197,0.022334,0.079792,-0.028885,0.02596,0.091086,,,,,,
69,0.334951,-0.029268,0.023059,0.064771,-0.039983,0.027354,0.077975,-0.016198,0.022333,0.079793,-0.028885,0.02596,0.091086,,,,,,
70,0.339806,-0.02927,0.023059,0.06477,-0.039984,0.027354,0.077975,-0.016199,0.022331,0.079794,-0.028885,0.025961,0.091085,,,,,,
71,0.34466,-0.029271,0.023059,0.064769,-0.039984,0.027354,0.077974,-0.016201,0.022329,0.079794,-0.028885,0.025961,0.091085,,,,,,
72,0.349515,-0.029273,0.023059,0.064768,-0.039985,0.027354,0.077974,-0.016202,0.022327,0.079795,-0.028885,0.025961,0.091085,,,,,,
73,0.354369,-0.029274,0.023059,0.064767,-0.039986,0.027354,0.077974,-0.016204,0.022325,0.079795,-0.028885,0.025961,0.091085,,,,,,
74,0.359223,-0.029276,0.023059,0.064766,-0.039986,0.027354,0.077973,-0.016205,0.022323,0.079796,-0.028885,0.025961,0.091085,,,,,,
75,0.364078,-0.029277,0.023059,0.064765,-0.039987,0.027354,0.077973,-0.016206,0.022322,0.079796,-0.028885,0.025961,0.091084,,,,,,
76,0.368932,-0.029279,0.023059,0.064764,-0.039988,0.027354,0.077973,-0.016208,0.02232,0.079797,-0.028885,0.025961,0.091084,,,,,,
77,0.373786,-0.029281,0.023058,0.064762,-0.039988,0.027354,0.077972,-0.016209,0.022318,0.079798,-0.028885,0.025962,0.091084,,,,,,
78,0.378641,-0.029282,0.023058,0.064761,-0.039989,0.027354,0.077972,-0.016211,0.022316,0.079798,-0.028885,0.025962,0.091083,,,,,,
79,0.383495,-0.029284,0.023058,0.06476,-0.03999,0.027354,0.077971,-0.016212,0.022314,0.079799,-0.028885,0.025962,0.091083,,,,,,
80,0.38835,-0.029286,0.023058,0.064759,-0.03999,0.027354,0.077971,-0.016214,0.022312,0.079799,-0.028884,0.025962,0.091083,,,,,,
81,0.393204,-0.029288,0.023058,0.064757,-0.039991,0.027354,0.07797,-0.016215,0.02231,0.0798,-0.028884,0.025962,0.091082,,,,,,
82,0.398058,-0.02929,0.023058,0.064756,-0.039992,0.027354,0.07797,-0.016217,0.022308,0.079801,-0.028884,0.025962,0.091082,,,,,,
83,0.402913,-0.029291,0.023058,0.064755,-0.039992,0.027354,0.077969,-0.016218,0.022306,0.079801,-0.028884,0.025962,0.091082,,,,,,
84,0.407767,-0.029293,0.023058,0.064753,-0.039993,0.027354,0.077969,-0.01622,0.022304,0.079802,-0.028884,0.025962,0.091081,,,,,,
85,0.412621,-0.029295,0.023058,0.064752,-0.039994,0.027354,0.077968,-0.016221,0.022302,0.079803,-0.028883,0.025962,0.091081,,,,,,
86,0.417476,-0.029297,0.023058,0.06475,-0.039995,0.027354,0.077968,-0.016223,0.0223,0.079803,-0.028883,0.025962,0.09108,,,,,,
87,0.42233,-0.029299,0.023057,0.064749,-0.039995,0.027354,0.077967,-0.016224,0.022298,0.079804,-0.028883,0.025961,0.09108,,,,,,
88,0.427184,-0.029301,0.023057,0.064747,-0.039996,0.027353,0.077967,-0.016226,0.022296,0.079805,-0.028883,0.025961,0.091079,,,,,,
89,0.432039,-0.029303,0.023057,0.064746,-0.039997,0.027353,0.077966,-0.016228,0.022294,0.079805,-0.028882,0.025961,0.091079,,,,,,
90,0.436893,-0.029306,0.023057,0.064744,-0.039998,0.027353,0.077966,-0.016229,0.022292,0.079806,-0.028882,0.025961,0.091079,,,,,,
91,0.441748,-0.029308,0.023057,0.064742,-0.039999,0.027353,0.077965,-0.016231,0.022289,0.079807,-0.028882,0.025961,0.091078,,,,,,
92,0.446602,-0.02931,0.023057,0.064741,-0.039999,0.027353,0.077965,-0.016233,0.022287,0.079807,-0.028882,0.025961,0.091078,,,,,,
93,0.451456,-0.029312,0.023057,0.064739,-0.04,0.027353,0.077964,-0.016235,0.022285,0.079808,-0.028881,0.025961,0.091077,,,,,,
94,0.456311,-0.029314,0.023057,0.064737,-0.040001,0.027353,0.077964,-0.016236,0.022282,0.079809,-0.028881,0.025961,0.091077,,,,,,
95,0.461165,-0.029317,0.023057,0.064736,-0.040002,0.027353,0.077963,-0.016238,0.02228,0.07981,-0.028881,0.025961,0.091076,,,,,,
96,0.466019,-0.029319,0.023057,0.064734,-0.040003,0.027352,0.077962,-0.01624,0.022278,0.079811,-0.028881,0.025961,0.091076,,,,,,
97,0.470874,-0.029321,0.023057,0.064732,-0.040004,0.027352,0.077962,-0.016242,0.022275,0.079811,-0.02888,0.025961,0.091075,,,,,,
98,0.475728,-0.029324,0.023057,0.06473,-0.040004,0.027352,0.077961,-0.016244,0.022273,0.079812,-0.02888,0.025961,0.091075,,,,,,
99,0.480583,-0.029326,0.023057,0.064728,-0.040005,0.027352,0.077961,-0.016246,0.02227,0.079813,-0.02888,0.025961,0.091074,,,,,,
100,0.485437,-0.029329,0.023057,0.064726,-0.040006,0.027352,0.07796,-0.016248,0.022268,0.079814,-0.028879,0.02596,0.091074,,,,,,
101,0.490291,-0.029331,0.023058,0.064724,-0.040007,0.027352,0.07796,-0.01625,0.022265,0.079815,-0.028879,0.02596,0.091073,,,,,,
102,0.495146,-0.029334,0.023058,0.064722,-0.040008,0.027352,0.077959,-0.016252,0.022263,0.079816,-0.028879,0.02596,0.091073,,,,,,
103,0.5,-0.029337,0.023058,0.06472,-0.040009,0.027351,0.077959,-0.016254,0.02226,0.079817,-0.028879,0.02596,0.091073,,,,,,
104,0.504854,-0.029339,0.023058,0.064718,-0.04001,0.027351,0.077958,-0.016256,0.022257,0.079817,-0.028878,0.02596,0.091072,,,,,,
105,0.509709,-0.029342,0.023058,0.064716,-0.040011,0.027351,0.077957,-0.016258,0.022255,0.079818,-0.028878,0.02596,0.091072,,,,,,
106,0.514563,-0.029345,0.023059,0.064714,-0.040012,0.027351,0.077957,-0.01626,0.022252,0.079819,-0.028878,0.02596,0.091071,,,,,,
107,0.519417,-0.029347,0.023059,0.064711,-0.040013,0.027351,0.077956,-0.016262,0.02225,0.07982,-0.028877,0.02596,0.091071,,,,,,
108,0.524272,-0.02935,0.023059,0.064709,-0.040014,0.027351,0.077956,-0.016264,0.022247,0.079821,-0.028877,0.02596,0.09107,,,,,,
109,0.529126,-0.029353,0.02306,0.064707,-0.040015,0.02735,0.077955,-0.016266,0.022244,0.079822,-0.028877,0.02596,0.09107,,,,,,
110,0.533981,-0.029356,0.02306,0.064704,-0.040016,0.02735,0.077955,-0.016268,0.022242,0.079823,-0.028876,0.02596,0.09107,,,,,,
111,0.538835,-0.029359,0.023061,0.064702,-0.040017,0.02735,0.077954,-0.01627,0.022239,0.079824,-0.028876,0.02596,0.091069,,,,,,
112,0.543689,-0.029362,0.023061,0.0647,-0.040018,0.02735,0.077954,-0.016272,0.022236,0.079825,-0.028876,0.02596,0.091069,,,,,,
113,0.548544,-0.029365,0.023062,0.064697,-0.040019,0.02735,0.077953,-0.016274,0.022234,0.079826,-0.028875,0.02596,0.091068,,,,,,
114,0.553398,-0.029368,0.023062,0.064694,-0.04002,0.02735,0.077952,-0.016276,0.022231,0.079827,-0.028875,0.02596,0.091068,,,,,,
115,0.558252,-0.029371,0.023063,0.064692,-0.040021,0.02735,0.077952,-0.016278,0.022229,0.079828,-0.028875,0.02596,0.091068,,,,,,
116,0.563107,-0.029375,0.023063,0.064689,-0.040022,0.027349,0.077951,-0.016279,0.022226,0.079829,-0.028875,0.02596,0.091067,,,,,,
117,0.567961,-0.029378,0.023064,0.064686,-0.040024,0.027349,0.077951,-0.016281,0.022224,0.07983,-0.028874,0.025961,0.091067,,,,,,
118,0.572816,-0.029381,0.023065,0.064683,-0.040025,0.027349,0.07795,-0.016283,0.022221,0.079831,-0.028874,0.025961,0.091067,,,,,,
119,0.57767,-0.029385,0.023065,0.064681,-0.040026,0.027349,0.07795,-0.016285,0.022219,0.079832,-0.028874,0.025961,0.091066,,,,,,
120,0.582524,-0.029388,0.023066,0.064678,-0.040027,0.027349,0.077949,-0.016286,0.022216,0.079832,-0.028873,0.025961,0.091066,,,,,,
121,0.587379,-0.029391,0.023067,0.064675,-0.040028,0.027349,0.077949,-0.016288,0.022214,0.079833,-0.028873,0.025961,0.091066,,,,,,
122,0.592233,-0.029395,0.023068,0.064672,-0.040029,0.027349,0.077948,-0.016289,0.022212,0.079834,-0.028872,0.025961,0.091065,,,,,,
123,0.597087,-0.029399,0.023069,0.064668,-0.040031,0.027348,0.077948,-0.016291,0.02221,0.079835,-0.028872,0.025961,0.091065,,,,,,
124,0.601942,-0.029402,0.02307,0.064665,-0.040032,0.027348,0.077947,-0.016292,0.022208,0.079836,-0.028872,0.025961,0.091065,,,,,,
125,0.606796,-0.029406,0.023071,0.064662,-0.040033,0.027348,0.077946,-0.016293,0.022206,0.079837,-0.028871,0.025961,0.091064,,,,,,
126,0.61165,-0.02941,0.023072,0.064659,-0.040034,0.027348,0.077946,-0.016295,0.022204,0.079837,-0.028871,0.025961,0.091064,,,,,,
127,0.616505,-0.029413,0.023073,0.064655,-0.040036,0.027348,0.077945,-0.016296,0.022202,0.079838,-0.028871,0.025962,0.091064,,,,,,
128,0.621359,-0.029417,0.023074,0.064652,-0.040037,0.027348,0.077945,-0.016297,0.0222,0.079839,-0.02887,0.025962,0.091063,,,,,,
129,0.626214,-0.029421,0.023075,0.064649,-0.040038,0.027347,0.077944,-0.016298,0.022199,0.07984,-0.02887,0.025962,0.091063,,,,,,
130,0.631068,-0.029425,0.023076,0.064645,-0.040039,0.027347,0.077943,-0.016298,0.022197,0.07984,-0.028869,0.025962,0.091063,,,,,,
131,0.635922,-0.029429,0.023077,0.064642,-0.040041,0.027347,0.077943,-0.016299,0.022196,0.079841,-0.028869,0.025962,0.091062,,,,,,
132,0.640777,-0.029433,0.023078,0.064638,-0.040042,0.027347,0.077942,-0.0163,0.022194,0.079842,-0.028868,0.025962,0.091062,,,,,,
133,0.645631,-0.029437,0.023079,0.064634,-0.040043,0.027347,0.077942,-0.0163,0.022193,0.079842,-0.028868,0.025962,0.091061,,,,,,
134,0.650485,-0.029441,0.02308,0.064631,-0.040045,0.027347,0.077941,-0.0163,0.022192,0.079843,-0.028867,0.025963,0.091061,,,,,,
135,0.65534,-0.029445,0.023081,0.064627,-0.040046,0.027346,0.07794,-0.0163,0.022191,0.079843,-0.028867,0.025963,0.091061,,,,,,
136,0.660194,-0.02945,0.023083,0.064623,-0.040048,0.027346,0.07794,-0.0163,0.02219,0.079844,-0.028866,0.025963,0.09106,,,,,,
137,0.665049,-0.029454,0.023084,0.06462,-0.040049,0.027346,0.077939,-0.0163,0.022189,0.079844,-0.028866,0.025963,0.09106,,,,,,
138,0.669903,-0.029458,0.023085,0.064616,-0.04005,0.027346,0.077939,-0.0163,0.022188,0.079845,-0.028865,0.025963,0.091059,,,,,,
139,0.674757,-0.029462,0.023086,0.064612,-0.040052,0.027346,0.077938,-0.0163,0.022188,0.079845,-0.028865,0.025963,0.091059,,,,,,
140,0.679612,-0.029467,0.023087,0.064608,-0.040053,0.027346,0.077937,-0.016299,0.022187,0.079845,-0.028864,0.025964,0.091059,,,,,,
141,0.684466,-0.029471,0.023088,0.064604,-0.040055,0.027345,0.077937,-0.016299,0.022187,0.079846,-0.028864,0.025964,0.091058,,,,,,
142,0.68932,-0.029476,0.023089,0.0646,-0.040056,0.027345,0.077936,-0.016298,0.022187,0.079846,-0.028863,0.025964,0.091058,,,,,,
143,0.694175,-0.02948,0.02309,0.064597,-0.040058,0.027345,0.077935,-0.016298,0.022186,0.079846,-0.028862,0.025964,0.091057,,,,,,
144,0.699029,-0.029485,0.023091,0.064593,-0.040059,0.027345,0.077935,-0.016297,0.022186,0.079847,-0.028862,0.025964,0.091057,,,,,,
145,0.703883,-0.029489,0.023092,0.064589,-0.04006,0.027345,0.077934,-0.016296,0.022186,0.079847,-0.028861,0.025964,0.091056,,,,,,
146,0.708738,-0.029494,0.023093,0.064585,-0.040062,0.027344,0.077933,-0.016295,0.022186,0.079847,-0.028861,0.025964,0.091056,,,,,,
147,0.713592,-0.029499,0.023094,0.064581,-0.040063,0.027344,0.077932,-0.016294,0.022186,0.079847,-0.02886,0.025964,0.091055,,,,,,
148,0.718447,-0.029504,0.023095,0.064577,-0.040065,0.027344,0.077932,-0.016292,0.022187,0.079847,-0.028859,0.025965,0.091055,,,,,,
149,0.723301,-0.029508,0.023096,0.064573,-0.040067,0.027344,0.077931,-0.016291,0.022187,0.079848,-0.028859,0.025965,0.091054,,,,,,
150,0.728155,-0.029513,0.023097,0.064569,-0.040068,0.027344,0.07793,-0.01629,0.022187,0.079848,-0.028858,0.025965,0.091054,,,,,,
151,0.73301,-0.029518,0.023098,0.064565,-0.04007,0.027343,0.07793,-0.016288,0.022187,0.079848,-0.028857,0.025965,0.091053,,,,,,
152,0.737864,-0.029523,0.023099,0.06456,-0.040071,0.027343,0.077929,-0.016287,0.022188,0.079848,-0.028856,0.025965,0.091053,,,,,,
153,0.742718,-0.029528,0.0231,0.064556,-0.040073,0.027343,0.077928,-0.016285,0.022188,0.079848,-0.028856,0.025965,0.091052,,,,,,
154,0.747573,-0.029533,0.0231,0.064552,-0.040074,0.027343,0.077927,-0.016284,0.022189,0.079848,-0.028855,0.025965,0.091052,,,,,,
155,0.752427,-0.029538,0.023101,0.064548,-0.040076,0.027343,0.077927,-0.016282,0.022189,0.079848,-0.028854,0.025965,0.091051,,,,,,
156,0.757282,-0.029543,0.023102,0.064544,-0.040078,0.027342,0.077926,-0.016281,0.022189,0.079848,-0.028853,0.025965,0.09105,,,,,,
157,0.762136,-0.029548,0.023103,0.06454,-0.040079,0.027342,0.077925,-0.016279,0.02219,0.079848,-0.028852,0.025966,0.09105,,,,,,
158,0.76699,-0.029553,0.023103,0.064535,-0.040081,0.027342,0.077924,-0.016277,0.02219,0.079848,-0.028852,0.025966,0.091049,,,,,,
159,0.771845,-0.029559,0.023104,0.064531,-0.040082,0.027342,0.077924,-0.016276,0.022191,0.079848,-0.028851,0.025966,0.091049,,,,,,
160,0.776699,-0.029564,0.023105,0.064527,-0.040084,0.027342,0.077923,-0.016274,0.022191,0.079849,-0.02885,0.025966,0.091048,,,,,,
161,0.781553,-0.029569,0.023106,0.064523,-0.040086,0.027341,0.077922,-0.016273,0.022191,0.079849,-0.028849,0.025966,0.091047,,,,,,
